,Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
18,2008,1,3,4,1011.0,1005,1116.0,1105,WN,521,N332SW,65.0,60.0,49.0,11.0,6.0,HOU,MSY,303,4.0,12.0,0,,0,,,,,
19,2008,1,3,4,1612.0,1520,1707.0,1620,WN,714,N305SW,55.0,60.0,44.0,47.0,52.0,HOU,MSY,303,4.0,7.0,0,,0,0.0,0.0,0.0,0.0,47.0
20,2008,1,3,4,1124.0,1115,1229.0,1215,WN,788,N426WN,65.0,60.0,45.0,14.0,9.0,HOU,MSY,303,5.0,15.0,0,,0,,,,,
21,2008,1,3,4,824.0,825,922.0,925,WN,880,N523SW,58.0,60.0,46.0,-3.0,-1.0,HOU,MSY,303,4.0,8.0,0,,0,,,,,
22,2008,1,3,4,2112.0,2015,2207.0,2110,WN,1257,N507SW,55.0,55.0,44.0,57.0,57.0,HOU,MSY,303,4.0,7.0,0,,0,0.0,0.0,0.0,0.0,57.0
23,2008,1,3,4,641.0,640,737.0,740,WN,1317,N366SW,56.0,60.0,45.0,-3.0,1.0,HOU,MSY,303,3.0,8.0,0,,0,,,,,
24,2008,1,3,4,1713.0,1710,1810.0,1810,WN,1776,N408WN,57.0,60.0,43.0,0.0,3.0,HOU,MSY,303,4.0,10.0,0,,0,,,,,
25,2008,1,3,4,1414.0,1410,1516.0,1510,WN,3234,N296WN,62.0,60.0,44.0,6.0,4.0,HOU,MSY,303,4.0,14.0,0,,0,,,,,
26,2008,1,3,4,1915.0,1820,2138.0,2035,WN,1192,N274WN,263.0,255.0,250.0,63.0,55.0,HOU,OAK,1642,5.0,8.0,0,,0,35.0,0.0,8.0,0.0,20.0
27,2008,1,3,4,929.0,930,1138.0,1145,WN,2011,N292WN,249.0,255.0,237.0,-7.0,-1.0,HOU,OAK,1642,3.0,9.0,0,,0,,,,,
28,2008,1,3,4,1214.0,1125,1335.0,1240,WN,877,N362SW,81.0,75.0,65.0,55.0,49.0,HOU,OKC,419,3.0,13.0,0,,0,12.0,0.0,6.0,0.0,37.0
29,2008,1,3,4,1318.0,1315,1434.0,1430,WN,956,N728SW,76.0,75.0,64.0,4.0,3.0,HOU,OKC,419,4.0,8.0,0,,0,,,,,
30,2008,1,3,4,1735.0,1715,1858.0,1835,WN,1230,N677AA,83.0,80.0,68.0,23.0,20.0,HOU,OKC,419,4.0,11.0,0,,0,10.0,0.0,3.0,0.0,10.0
31,2008,1,3,4,904.0,900,1018.0,1015,WN,1916,N357SW,74.0,75.0,62.0,3.0,4.0,HOU,OKC,419,3.0,9.0,0,,0,,,,,
32,2008,1,3,4,1555.0,1520,2007.0,1930,WN,31,N793SA,192.0,190.0,174.0,37.0,35.0,HOU,PHL,1335,5.0,13.0,0,,0,12.0,0.0,2.0,0.0,23.0
33,2008,1,3,4,807.0,735,1213.0,1140,WN,476,N237WN,186.0,185.0,174.0,33.0,32.0,HOU,PHL,1335,4.0,8.0,0,,0,0.0,0.0,1.0,31.0,1.0
34,2008,1,3,4,926.0,920,1112.0,1115,WN,1481,N227WN,166.0,175.0,154.0,-3.0,6.0,HOU,PHX,1020,3.0,9.0,0,,0,,,,,
35,2008,1,3,4,1544.0,1340,1728.0,1535,WN,1600,N769SW,164.0,175.0,152.0,113.0,124.0,HOU,PHX,1020,3.0,9.0,0,,0,113.0,0.0,0.0,0.0,0.0
36,2008,1,3,4,1931.0,1805,2119.0,2000,WN,2100,N704SW,168.0,175.0,153.0,79.0,86.0,HOU,PHX,1020,6.0,9.0,0,,0,21.0,0.0,0.0,0.0,58.0
37,2008,1,3,4,2206.0,2120,2353.0,2315,WN,3154,N252WN,167.0,175.0,156.0,38.0,46.0,HOU,PHX,1020,4.0,7.0,0,,0,9.0,0.0,0.0,0.0,29.0
38,2008,1,3,4,658.0,655,847.0,850,WN,3230,N728SW,169.0,175.0,156.0,-3.0,3.0,HOU,PHX,1020,5.0,8.0,0,,0,,,,,
39,2008,1,3,4,1254.0,1105,1415.0,1235,WN,1314,N768SW,201.0,210.0,190.0,100.0,109.0,HOU,SAN,1312,2.0,9.0,0,,0,100.0,0.0,0.0,0.0,0.0
40,2008,1,3,4,1343.0,1245,1435.0,1340,WN,63,N305SW,52.0,55.0,38.0,55.0,58.0,HOU,SAT,192,3.0,11.0,0,,0,55.0,0.0,0.0,0.0,0.0
41,2008,1,3,4,13.0,1915,57.0,2005,WN,186,N792SW,44.0,50.0,35.0,292.0,298.0,HOU,SAT,192,3.0,6.0,0,,0,0.0,0.0,0.0,0.0,292.0
42,2008,1,3,4,,800,,850,WN,609,,,50.0,,,,HOU,SAT,192,,,1,A,0,,,,,
43,2008,1,3,4,840.0,840,926.0,930,WN,626,N417WN,46.0,50.0,35.0,-4.0,0.0,HOU,SAT,192,3.0,8.0,0,,0,,,,,
44,2008,1,3,4,2058.0,2055,2149.0,2145,WN,1410,N614SW,51.0,50.0,39.0,4.0,3.0,HOU,SAT,192,2.0,10.0,0,,0,,,,,
45,2008,1,3,4,1035.0,1035,1124.0,1125,WN,2089,N504SW,49.0,50.0,36.0,-1.0,0.0,HOU,SAT,192,3.0,10.0,0,,0,,,,,
46,2008,1,3,4,1529.0,1505,1618.0,1600,WN,2436,N623SW,49.0,55.0,38.0,18.0,24.0,HOU,SAT,192,3.0,8.0,0,,0,3.0,0.0,0.0,0.0,15.0
47,2008,1,3,4,1713.0,1715,1800.0,1810,WN,3321,N296WN,47.0,55.0,36.0,-10.0,-2.0,HOU,SAT,192,3.0,8.0,0,,0,,,,,
48,2008,1,3,4,629.0,630,819.0,825,WN,426,N360SW,110.0,115.0,97.0,-6.0,-1.0,HOU,STL,687,4.0,9.0,0,,0,,,,,
49,2008,1,3,4,1315.0,1300,1508.0,1455,WN,2176,N504SW,113.0,115.0,102.0,13.0,15.0,HOU,STL,687,3.0,8.0,0,,0,,,,,
50,2008,1,3,4,1857.0,1850,2058.0,2045,WN,3574,N644SW,121.0,115.0,107.0,13.0,7.0,HOU,STL,687,4.0,10.0,0,,0,,,,,
51,2008,1,3,4,939.0,935,1125.0,1130,WN,3845,N248WN,106.0,115.0,95.0,-5.0,4.0,HOU,STL,687,3.0,8.0,0,,0,,,,,
52,2008,1,3,4,1629.0,1455,1938.0,1755,WN,29,N652SW,129.0,120.0,108.0,103.0,94.0,HOU,TPA,781,5.0,16.0,0,,0,8.0,0.0,9.0,0.0,86.0
53,2008,1,3,4,1952.0,1855,2245.0,2155,WN,45,N631SW,113.0,120.0,96.0,50.0,57.0,HOU,TPA,781,5.0,12.0,0,,0,7.0,0.0,0.0,0.0,43.0
54,2008,1,3,4,818.0,755,1115.0,1055,WN,201,N251WN,117.0,120.0,105.0,20.0,23.0,HOU,TPA,781,4.0,8.0,0,,0,0.0,0.0,0.0,11.0,9.0
55,2008,1,3,4,1122.0,1105,1415.0,1405,WN,968,N417WN,113.0,120.0,95.0,10.0,17.0,HOU,TPA,781,4.0,14.0,0,,0,,,,,
56,2008,1,3,4,704.0,705,822.0,825,WN,308,N502SW,78.0,80.0,67.0,-3.0,-1.0,HOU,TUL,453,4.0,7.0,0,,0,,,,,
57,2008,1,3,4,2016.0,1940,2141.0,2100,WN,1491,N366SW,85.0,80.0,73.0,41.0,36.0,HOU,TUL,453,4.0,8.0,0,,0,14.0,0.0,5.0,0.0,22.0
58,2008,1,3,4,1125.0,1120,1246.0,1240,WN,1685,N341SW,81.0,80.0,67.0,6.0,5.0,HOU,TUL,453,3.0,11.0,0,,0,,,,,
59,2008,1,3,4,1723.0,1630,1845.0,1755,WN,3915,N528SW,82.0,85.0,71.0,50.0,53.0,HOU,TUL,453,4.0,7.0,0,,0,0.0,0.0,0.0,0.0,50.0
60,2008,1,3,4,1414.0,1415,1510.0,1515,WN,1417,N515SW,56.0,60.0,45.0,-5.0,-1.0,HRL,AUS,273,5.0,6.0,0,,0,,,,,
61,2008,1,3,4,631.0,630,723.0,730,WN,8,N339SW,52.0,60.0,43.0,-7.0,1.0,HRL,HOU,276,3.0,6.0,0,,0,,,,,
62,2008,1,3,4,859.0,900,1004.0,1000,WN,18,N418WN,65.0,60.0,44.0,4.0,-1.0,HRL,HOU,276,16.0,5.0,0,,0,,,,,
63,2008,1,3,4,1054.0,1040,1144.0,1140,WN,24,N503SW,50.0,60.0,42.0,4.0,14.0,HRL,HOU,276,3.0,5.0,0,,0,,,,,
64,2008,1,3,4,1210.0,1210,1302.0,1310,WN,30,N689SW,52.0,60.0,44.0,-8.0,0.0,HRL,HOU,276,3.0,5.0,0,,0,,,,,
65,2008,1,3,4,1407.0,1340,1459.0,1440,WN,36,N511SW,52.0,60.0,42.0,19.0,27.0,HRL,HOU,276,3.0,7.0,0,,0,1.0,0.0,0.0,0.0,18.0
66,2008,1,3,4,1549.0,1540,1649.0,1640,WN,44,N512SW,60.0,60.0,46.0,9.0,9.0,HRL,HOU,276,5.0,9.0,0,,0,,,,,
67,2008,1,3,4,1744.0,1710,1838.0,1810,WN,50,N525SW,54.0,60.0,45.0,28.0,34.0,HRL,HOU,276,3.0,6.0,0,,0,2.0,0.0,0.0,0.0,26.0
68,2008,1,3,4,1826.0,1830,1921.0,1930,WN,56,N522SW,55.0,60.0,45.0,-9.0,-4.0,HRL,HOU,276,4.0,6.0,0,,0,,,,,
69,2008,1,3,4,2040.0,2045,2131.0,2140,WN,64,N470WN,51.0,55.0,44.0,-9.0,-5.0,HRL,HOU,276,2.0,5.0,0,,0,,,,,
70,2008,1,3,4,942.0,940,1031.0,1035,WN,1170,N507SW,49.0,55.0,41.0,-4.0,2.0,HRL,SAT,233,3.0,5.0,0,,0,,,,,
71,2008,1,3,4,2029.0,1940,2121.0,2030,WN,2023,N295WN,52.0,50.0,40.0,51.0,49.0,HRL,SAT,233,3.0,9.0,0,,0,0.0,0.0,2.0,0.0,49.0
72,2008,1,3,4,816.0,815,1052.0,1040,WN,2622,N445WN,336.0,325.0,283.0,12.0,1.0,IAD,LAS,2066,40.0,13.0,0,,0,,,,,
73,2008,1,3,4,1520.0,1450,1723.0,1710,WN,1491,N366SW,123.0,140.0,108.0,13.0,30.0,IAD,MCO,758,7.0,8.0,0,,0,,,,,
74,2008,1,3,4,956.0,940,1153.0,1200,WN,3760,N672SW,117.0,140.0,103.0,-7.0,16.0,IAD,MCO,758,6.0,8.0,0,,0,,,,,
75,2008,1,3,4,1100.0,1045,1148.0,1145,WN,470,N657SW,108.0,120.0,93.0,3.0,15.0,IAD,MDW,577,7.0,8.0,0,,0,,,,,
76,2008,1,3,4,639.0,630,726.0,725,WN,511,N272WN,107.0,115.0,91.0,1.0,9.0,IAD,MDW,577,6.0,10.0,0,,0,,,,,
77,2008,1,3,4,2302.0,2100,2351.0,2200,WN,999,N652SW,109.0,120.0,97.0,111.0,122.0,IAD,MDW,577,4.0,8.0,0,,0,3.0,0.0,0.0,0.0,108.0
78,2008,1,3,4,1903.0,1720,1955.0,1820,WN,1394,N294WN,112.0,120.0,88.0,95.0,103.0,IAD,MDW,577,17.0,7.0,0,,0,7.0,0.0,0.0,0.0,88.0
79,2008,1,3,4,1509.0,1505,1558.0,1605,WN,1662,N461WN,109.0,120.0,93.0,-7.0,4.0,IAD,MDW,577,7.0,9.0,0,,0,,,,,
80,2008,1,3,4,947.0,930,1034.0,1030,WN,2019,N392SW,107.0,120.0,94.0,4.0,17.0,IAD,MDW,577,6.0,7.0,0,,0,,,,,
81,2008,1,3,4,2003.0,1955,2211.0,2225,WN,335,N712SW,128.0,150.0,116.0,-14.0,8.0,IAD,TPA,810,4.0,8.0,0,,0,,,,,
82,2008,1,3,4,754.0,735,1002.0,1000,WN,3231,N772SW,128.0,145.0,113.0,2.0,19.0,IAD,TPA,810,5.0,10.0,0,,0,,,,,
83,2008,1,3,4,628.0,620,804.0,750,WN,448,N428WN,96.0,90.0,76.0,14.0,8.0,IND,BWI,515,3.0,17.0,0,,0,,,,,
84,2008,1,3,4,926.0,930,1054.0,1100,WN,1746,N612SW,88.0,90.0,78.0,-6.0,-4.0,IND,BWI,515,3.0,7.0,0,,0,,,,,
85,2008,1,3,4,1829.0,1755,1959.0,1925,WN,3920,N464WN,90.0,90.0,77.0,34.0,34.0,IND,BWI,515,3.0,10.0,0,,0,2.0,0.0,0.0,0.0,32.0
86,2008,1,3,4,1940.0,1915,2121.0,2110,WN,378,N726SW,101.0,115.0,87.0,11.0,25.0,IND,JAX,688,4.0,10.0,0,,0,,,,,
87,2008,1,3,4,1937.0,1830,2037.0,1940,WN,509,N763SW,240.0,250.0,230.0,57.0,67.0,IND,LAS,1591,3.0,7.0,0,,0,10.0,0.0,0.0,0.0,47.0
88,2008,1,3,4,1039.0,1040,1132.0,1150,WN,535,N428WN,233.0,250.0,219.0,-18.0,-1.0,IND,LAS,1591,7.0,7.0,0,,0,,,,,
89,2008,1,3,4,617.0,615,652.0,650,WN,11,N689SW,95.0,95.0,70.0,2.0,2.0,IND,MCI,451,6.0,19.0,0,,0,,,,,
90,2008,1,3,4,1620.0,1620,1639.0,1655,WN,810,N648SW,79.0,95.0,70.0,-16.0,0.0,IND,MCI,451,3.0,6.0,0,,0,,,,,
91,2008,1,3,4,706.0,700,916.0,915,WN,100,N690SW,130.0,135.0,106.0,1.0,6.0,IND,MCO,828,5.0,19.0,0,,0,,,,,
92,2008,1,3,4,1644.0,1510,1845.0,1725,WN,1333,N334SW,121.0,135.0,107.0,80.0,94.0,IND,MCO,828,6.0,8.0,0,,0,8.0,0.0,0.0,0.0,72.0
93,2008,1,3,4,1426.0,1430,1426.0,1425,WN,829,N476WN,60.0,55.0,39.0,1.0,-4.0,IND,MDW,162,9.0,12.0,0,,0,,,,,
94,2008,1,3,4,715.0,715,720.0,710,WN,1016,N765SW,65.0,55.0,37.0,10.0,0.0,IND,MDW,162,7.0,21.0,0,,0,,,,,
95,2008,1,3,4,1702.0,1700,1651.0,1655,WN,1827,N420WN,49.0,55.0,35.0,-4.0,2.0,IND,MDW,162,4.0,10.0,0,,0,,,,,
96,2008,1,3,4,1029.0,1020,1021.0,1010,WN,2272,N263WN,52.0,50.0,37.0,11.0,9.0,IND,MDW,162,6.0,9.0,0,,0,,,,,
97,2008,1,3,4,1452.0,1425,1640.0,1625,WN,675,N286WN,228.0,240.0,213.0,15.0,27.0,IND,PHX,1489,7.0,8.0,0,,0,3.0,0.0,0.0,0.0,12.0
98,2008,1,3,4,754.0,745,940.0,955,WN,1144,N778SW,226.0,250.0,205.0,-15.0,9.0,IND,PHX,1489,5.0,16.0,0,,0,,,,,
99,2008,1,3,4,1323.0,1255,1526.0,1510,WN,4,N674AA,123.0,135.0,110.0,16.0,28.0,IND,TPA,838,4.0,9.0,0,,0,0.0,0.0,0.0,0.0,16.0
100,2008,1,3,4,1416.0,1325,1512.0,1435,WN,54,N643SW,56.0,70.0,49.0,37.0,51.0,ISP,BWI,220,2.0,5.0,0,,0,12.0,0.0,0.0,0.0,25.0
101,2008,1,3,4,706.0,705,807.0,810,WN,68,N497WN,61.0,65.0,51.0,-3.0,1.0,ISP,BWI,220,3.0,7.0,0,,0,,,,,
102,2008,1,3,4,1657.0,1625,1754.0,1735,WN,623,N724SW,57.0,70.0,47.0,19.0,32.0,ISP,BWI,220,5.0,5.0,0,,0,7.0,0.0,0.0,0.0,12.0
103,2008,1,3,4,1900.0,1840,1956.0,1950,WN,717,N786SW,56.0,70.0,49.0,6.0,20.0,ISP,BWI,220,2.0,5.0,0,,0,,,,,
104,2008,1,3,4,1039.0,1030,1133.0,1140,WN,1244,N714CB,54.0,70.0,47.0,-7.0,9.0,ISP,BWI,220,2.0,5.0,0,,0,,,,,
105,2008,1,3,4,801.0,800,902.0,910,WN,2101,N222WN,61.0,70.0,53.0,-8.0,1.0,ISP,BWI,220,3.0,5.0,0,,0,,,,,
106,2008,1,3,4,1520.0,1455,1619.0,1605,WN,2553,N394SW,59.0,70.0,50.0,14.0,25.0,ISP,BWI,220,2.0,7.0,0,,0,,,,,
107,2008,1,3,4,1422.0,1255,1657.0,1610,WN,188,N215WN,155.0,195.0,143.0,47.0,87.0,ISP,FLL,1093,6.0,6.0,0,,0,40.0,0.0,0.0,0.0,7.0
108,2008,1,3,4,1954.0,1925,2239.0,2235,WN,1754,N243WN,165.0,190.0,155.0,4.0,29.0,ISP,FLL,1093,3.0,7.0,0,,0,,,,,
109,2008,1,3,4,636.0,635,921.0,945,WN,2275,N454WN,165.0,190.0,147.0,-24.0,1.0,ISP,FLL,1093,5.0,13.0,0,,0,,,,,
110,2008,1,3,4,734.0,730,958.0,1020,WN,550,N712SW,324.0,350.0,314.0,-22.0,4.0,ISP,LAS,2283,2.0,8.0,0,,0,,,,,
111,2008,1,3,4,2107.0,1945,2334.0,2230,WN,362,N798SW,147.0,165.0,134.0,64.0,82.0,ISP,MCO,972,6.0,7.0,0,,0,5.0,0.0,0.0,0.0,59.0
112,2008,1,3,4,1008.0,1005,1234.0,1255,WN,543,N736SA,146.0,170.0,135.0,-21.0,3.0,ISP,MCO,972,5.0,6.0,0,,0,,,,,
113,2008,1,3,4,712.0,710,953.0,1000,WN,1112,N795SW,161.0,170.0,142.0,-7.0,2.0,ISP,MCO,972,5.0,14.0,0,,0,,,,,
114,2008,1,3,4,1312.0,1300,1546.0,1550,WN,1397,N247WN,154.0,170.0,140.0,-4.0,12.0,ISP,MCO,972,7.0,7.0,0,,0,,,,,
115,2008,1,3,4,1449.0,1430,1715.0,1720,WN,3398,N707SA,146.0,170.0,134.0,-5.0,19.0,ISP,MCO,972,6.0,6.0,0,,0,,,,,
116,2008,1,3,4,1634.0,1555,1859.0,1845,WN,3480,N443WN,145.0,170.0,134.0,14.0,39.0,ISP,MCO,972,5.0,6.0,0,,0,,,,,
117,2008,1,3,4,831.0,830,935.0,955,WN,300,N753SW,124.0,145.0,112.0,-20.0,1.0,ISP,MDW,765,5.0,7.0,0,,0,,,,,
118,2008,1,3,4,1812.0,1650,1927.0,1815,WN,422,N779SW,135.0,145.0,118.0,72.0,82.0,ISP,MDW,765,6.0,11.0,0,,0,3.0,0.0,0.0,0.0,69.0
119,2008,1,3,4,1127.0,1105,1235.0,1230,WN,1837,N704SW,128.0,145.0,114.0,5.0,22.0,ISP,MDW,765,9.0,5.0,0,,0,,,,,
120,2008,1,3,4,1424.0,1355,1531.0,1520,WN,2871,N709SW,127.0,145.0,113.0,11.0,29.0,ISP,MDW,765,8.0,6.0,0,,0,,,,,
121,2008,1,3,4,1326.0,1230,1559.0,1530,WN,1056,N459WN,153.0,180.0,143.0,29.0,56.0,ISP,PBI,1052,5.0,5.0,0,,0,0.0,0.0,0.0,0.0,29.0
122,2008,1,3,4,1749.0,1725,2019.0,2030,WN,2175,N621SW,150.0,185.0,138.0,-11.0,24.0,ISP,PBI,1052,4.0,8.0,0,,0,,,,,
123,2008,1,3,4,726.0,720,958.0,1020,WN,3319,N206WN,152.0,180.0,140.0,-22.0,6.0,ISP,PBI,1052,4.0,8.0,0,,0,,,,,
124,2008,1,3,4,646.0,640,929.0,955,WN,3667,N280WN,163.0,195.0,151.0,-26.0,6.0,ISP,RSW,1101,3.0,9.0,0,,0,,,,,
125,2008,1,3,4,1153.0,1140,1428.0,1440,WN,2006,N241WN,155.0,180.0,143.0,-12.0,13.0,ISP,TPA,1034,4.0,8.0,0,,0,,,,,
126,2008,1,3,4,1528.0,1510,1802.0,1810,WN,3858,N200WN,154.0,180.0,144.0,-8.0,18.0,ISP,TPA,1034,4.0,6.0,0,,0,,,,,
127,2008,1,3,4,634.0,635,907.0,935,WN,3928,N459WN,153.0,180.0,142.0,-28.0,-1.0,ISP,TPA,1034,3.0,8.0,0,,0,,,,,
128,2008,1,3,4,831.0,830,1148.0,1140,WN,534,N286WN,137.0,130.0,123.0,8.0,1.0,JAN,BWI,888,5.0,9.0,0,,0,,,,,
129,2008,1,3,4,1450.0,1435,1806.0,1745,WN,3244,N475WN,136.0,130.0,121.0,21.0,15.0,JAN,BWI,888,7.0,8.0,0,,0,0.0,0.0,6.0,0.0,15.0
130,2008,1,3,4,2245.0,1730,2354.0,1850,WN,186,N792SW,69.0,80.0,59.0,304.0,315.0,JAN,HOU,359,3.0,7.0,0,,0,282.0,0.0,0.0,0.0,22.0
131,2008,1,3,4,615.0,615,724.0,735,WN,971,N202WN,69.0,80.0,60.0,-11.0,0.0,JAN,HOU,359,2.0,7.0,0,,0,,,,,
132,2008,1,3,4,1150.0,1145,1303.0,1305,WN,2124,N646SW,73.0,80.0,63.0,-2.0,5.0,JAN,HOU,359,3.0,7.0,0,,0,,,,,
133,2008,1,3,4,2025.0,1940,2135.0,2100,WN,3154,N252WN,70.0,80.0,60.0,35.0,45.0,JAN,HOU,359,3.0,7.0,0,,0,26.0,0.0,0.0,0.0,9.0
134,2008,1,3,4,1038.0,945,1314.0,1225,WN,1035,N346SW,96.0,100.0,81.0,49.0,53.0,JAN,MCO,587,8.0,7.0,0,,0,7.0,0.0,0.0,0.0,42.0
135,2008,1,3,4,1900.0,1850,2123.0,2045,WN,205,N299WN,143.0,115.0,97.0,38.0,10.0,JAN,MDW,666,40.0,6.0,0,,0,1.0,0.0,28.0,0.0,9.0
136,2008,1,3,4,700.0,700,851.0,900,WN,449,N528SW,111.0,120.0,99.0,-9.0,0.0,JAN,MDW,666,6.0,6.0,0,,0,,,,,
137,2008,1,3,4,948.0,925,959.0,940,WN,3430,N487WN,71.0,75.0,59.0,19.0,23.0,JAX,BHM,365,3.0,9.0,0,,0,0.0,0.0,0.0,0.0,19.0
138,2008,1,3,4,646.0,620,725.0,655,WN,1580,N243WN,99.0,95.0,77.0,30.0,26.0,JAX,BNA,484,6.0,16.0,0,,0,26.0,0.0,4.0,0.0,0.0
139,2008,1,3,4,1110.0,1040,1136.0,1110,WN,2195,N479WN,86.0,90.0,72.0,26.0,30.0,JAX,BNA,484,5.0,9.0,0,,0,0.0,0.0,0.0,10.0,16.0
140,2008,1,3,4,1535.0,1535,1603.0,1610,WN,2804,N255WN,88.0,95.0,74.0,-7.0,0.0,JAX,BNA,484,5.0,9.0,0,,0,,,,,
141,2008,1,3,4,1919.0,1915,1942.0,1950,WN,3428,N215WN,83.0,95.0,71.0,-8.0,4.0,JAX,BNA,484,4.0,8.0,0,,0,,,,,
142,2008,1,3,4,1053.0,1055,1245.0,1240,WN,433,N264LV,112.0,105.0,96.0,5.0,-2.0,JAX,BWI,663,7.0,9.0,0,,0,,,,,
143,2008,1,3,4,1433.0,1440,1623.0,1625,WN,1331,N714CB,110.0,105.0,95.0,-2.0,-7.0,JAX,BWI,663,2.0,13.0,0,,0,,,,,
144,2008,1,3,4,2015.0,2010,2158.0,2155,WN,3504,N436WN,103.0,105.0,91.0,3.0,5.0,JAX,BWI,663,5.0,7.0,0,,0,,,,,
145,2008,1,3,4,2139.0,2130,2244.0,2240,WN,378,N726SW,65.0,70.0,54.0,4.0,9.0,JAX,FLL,318,3.0,8.0,0,,0,,,,,
146,2008,1,3,4,1500.0,1500,1602.0,1615,WN,640,N399WN,62.0,75.0,49.0,-13.0,0.0,JAX,FLL,318,5.0,8.0,0,,0,,,,,
147,2008,1,3,4,850.0,850,1000.0,1000,WN,1396,N387SW,70.0,70.0,51.0,0.0,0.0,JAX,FLL,318,10.0,9.0,0,,0,,,,,
148,2008,1,3,4,646.0,645,752.0,755,WN,2189,N405WN,66.0,70.0,46.0,-3.0,1.0,JAX,FLL,318,13.0,7.0,0,,0,,,,,
149,2008,1,3,4,1221.0,1220,1328.0,1330,WN,3312,N685SW,67.0,70.0,54.0,-2.0,1.0,JAX,FLL,318,5.0,8.0,0,,0,,,,,
150,2008,1,3,4,1738.0,1730,1841.0,1840,WN,3948,N467WN,63.0,70.0,49.0,1.0,8.0,JAX,FLL,318,6.0,8.0,0,,0,,,,,
